experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Chair,run_2,110,179311,5.5,5.870873163907638,2.9216548332739567,chair,3.9970048666000366,450,3206,0,0,0,0,0,0,0,5.130384579388192e-06,2.1375542928581126e-05,4.586394879879663e-06,0.9999688863754272,5.9998698234558105,go_fast,go_fast,False,0.75,0.0,-0.020999999716877937,22.688426971435547,2.4755985736846924,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,1.1159366750642363
Object in Road,Chair,run_2,115,179316,5.75,5.307888113076038,2.7484134277434102,chair,3.251660943031311,911,16,0,0,0,0,0,0,0,2.5931262825906742e-06,0.0007415433647111058,9.31174581637606e-05,0.9991627931594849,5.996739387512207,go_fast,go_fast,False,0.75,0.0,0.03500000014901161,21.357126235961914,2.677661657333374,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,1.534868185282076
Object in Road,Chair,run_2,120,179321,6.0,5.818434202412143,3.4672840440580868,chair,2.8478068113327026,0,0,0,0,0,0,0,0,0,2.8577867396961665e-06,3.01902900901041e-06,2.0212128220009618e-06,0.9999921321868896,5.999964714050293,go_fast,go_fast,False,0.75,0.0,-0.014000000432133675,20.01814079284668,2.3460607528686523,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,4.872027839821458
Object in Road,Chair,run_2,125,179326,6.25,6.856137674862846,4.097286675674724,chair,3.0837322473526,0,0,0,0,0,0,0,0,0,7.067015758366324e-06,3.3218698263226543e-06,1.7229039883659425e-07,0.99998939037323,5.999943256378174,go_fast,go_fast,False,0.0,1.0,-0.02800000086426735,18.41427230834961,2.457933187484741,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,
Object in Road,Chair,run_2,130,179331,6.5,6.671459366896282,3.4339921684628276,chair,4.057416796684265,0,0,0,0,0,0,0,0,0,2.7194660106033552e-06,1.0548019417910837e-06,2.1562667029684235e-07,0.9999960660934448,5.999979019165039,go_fast,go_fast,False,0.0,1.0,-0.0560000017285347,16.642959594726562,2.733120918273926,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,
Object in Road,Chair,run_2,135,179336,6.75,2.539805777874885,26.884012351813322,chair,5.06625497341156,0,0,0,0,0,0,0,0,0,1.5820501175767276e-06,0.00010929412383120507,5.244891454481149e-08,0.9998890161514282,5.999553203582764,go_fast,go_fast,False,0.75,0.0,0.4000000059604645,15.270182609558105,3.1150572299957275,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,
Object in Road,Chair,run_2,140,179341,7.0,1.0118646965803912,5.218258526028601,chair,5.216562628746033,0,0,0,0,0,0,0,0,0,4.0541351609135745e-07,9.613591828383505e-05,6.047788048135772e-08,0.9999034404754639,5.999613285064697,go_fast,go_fast,False,0.75,0.0,0.33000001311302185,15.11275577545166,2.9168624877929688,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,
Object in Road,Chair,run_2,145,179346,7.25,2.31130394204246,5.241250059124364,chair,5.521617293357849,3220,0,0,0,0,0,0,0,0,1.1244135293964064e-06,0.00013723444135393947,4.39764953341637e-08,0.9998615980148315,5.999444007873535,go_fast,go_fast,False,0.75,0.0,0.27300000190734863,14.823590278625488,2.0893445014953613,LANEFOLLOW,obstacle_detected,none,False,stop,False,,False,
Object in Road,Pedestrian,run_1,0,179960,0.0,1.9600002765655518,9.800003051757812,pedestrian,29.844944402575493,23,0,0,0,0,0,0,0,0,6.551071578542178e-07,0.00014023453695699573,1.9749948023672914e-06,0.9998570680618286,5.999429225921631,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_1,5,179965,0.25,0.11209821701050988,12.519777298004447,pedestrian,29.857069417834282,25,0,0,70,0,0,0,0,0,2.8672129701590165e-06,4.6596953325206414e-05,2.301768745383015e-06,0.999948263168335,5.999789714813232,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_1,10,179970,0.5,0.16076517105112245,0.8133867383161851,pedestrian,29.855566427111626,0,0,0,58,0,0,0,0,0,1.317014152846241e-06,2.4019151169341058e-05,2.684286073417752e-06,0.9999719858169556,5.9998884201049805,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_1,15,179975,0.75,2.568322561305926,6.656513628995675,pedestrian,29.485918447375298,4,0,0,77,0,0,0,0,0,4.326963107814663e-07,2.3401238649967127e-05,1.8756256849883357e-06,0.999974250793457,5.9998979568481445,go_fast,go_fast,False,0.75,0.0,-0.5049999952316284,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,none,True,go,False,,False,11.5486518841096
